condition,total,train,val,test,nine_label,three_label,is_malignant,is_rwanda_priority,tier,decision
basal cell carcinoma morpheiform,1,1,0,0,malignant epidermal,malignant,True,False,Tier 4,GROUP/DOCUMENT
xeroderma pigmentosum,34,20,7,7,genodermatoses,non-neoplastic,False,False,Tier 4,GROUP/DROP
lichen amyloidosis,31,19,6,6,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
acanthosis nigricans,28,17,6,5,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
pityriasis rosea,28,17,6,5,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
fixed eruptions,26,16,5,5,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
factitial dermatitis,25,15,5,5,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
allergic contact dermatitis,24,14,5,5,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
eczema,24,14,5,5,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
drug eruption,23,14,5,4,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
erythema multiforme,23,14,5,4,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
acne vulgaris,22,13,4,5,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
granuloma annulare,21,13,4,4,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
photodermatoses,20,12,4,4,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
tungiasis,19,11,4,4,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
lichen simplex,19,11,4,4,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
scleromyxedema,18,11,4,3,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
acne,18,11,4,3,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
naevus comedonicus,18,11,4,3,benign epidermal,benign,False,False,Tier 4,GROUP/DROP
halo nevus,17,10,3,4,benign melanocyte,benign,False,False,Tier 4,GROUP/DROP
dermatomyositis,17,10,3,4,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
necrobiosis lipoidica,17,10,3,4,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
tuberous sclerosis,16,10,3,3,genodermatoses,non-neoplastic,False,False,Tier 4,GROUP/DROP
ichthyosis vulgaris,15,9,3,3,genodermatoses,non-neoplastic,False,False,Tier 4,GROUP/DROP
porphyria,15,9,3,3,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
porokeratosis actinic,14,8,3,3,benign epidermal,benign,False,False,Tier 4,GROUP/DROP
syringoma,14,8,3,3,benign dermal,benign,False,False,Tier 4,GROUP/DROP
epidermolysis bullosa,13,8,3,2,genodermatoses,non-neoplastic,False,False,Tier 4,GROUP/DROP
erythema elevatum diutinum,13,8,3,2,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
stasis edema,13,8,3,2,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
lupus subacute,12,7,2,3,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
lymphangioma,11,7,2,2,benign dermal,benign,False,False,Tier 4,GROUP/DROP
mucous cyst,11,7,2,2,benign dermal,benign,False,False,Tier 4,GROUP/DROP
urticaria pigmentosa,11,7,2,2,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
drug induced pigmentary changes,11,7,2,2,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
mucinosis,11,7,2,2,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
behcets disease,10,6,2,2,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
calcinosis cutis,10,6,2,2,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
pilar cyst,9,5,2,2,benign dermal,benign,False,False,Tier 4,GROUP/DROP
telangiectases,9,5,2,2,benign dermal,benign,False,False,Tier 4,GROUP/DROP
hailey hailey disease,9,5,2,2,genodermatoses,non-neoplastic,False,False,Tier 4,GROUP/DROP
seborrheic keratosis,9,5,2,2,benign epidermal,benign,False,False,Tier 4,GROUP/DROP
hidradenitis,9,5,2,2,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
juvenile xanthogranuloma,9,5,2,2,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
dyshidrotic eczema,8,5,2,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
striae,8,5,2,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
seborrheic dermatitis,8,5,2,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
xanthomas,7,4,1,2,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
cheilitis,7,4,1,2,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
sun damaged skin,6,4,1,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
pyogenic granuloma,6,4,1,1,benign dermal,benign,False,False,Tier 4,GROUP/DROP
myiasis,6,4,1,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
milia,6,4,1,1,benign epidermal,benign,False,False,Tier 4,GROUP/DROP
pustular psoriasis,6,4,1,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
nevus sebaceous of jadassohn,6,4,1,1,benign epidermal,benign,False,False,Tier 4,GROUP/DROP
congenital nevus,5,3,1,1,benign melanocyte,benign,False,False,Tier 4,GROUP/DROP
stevens johnson syndrome,5,3,1,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
granuloma pyogenic,5,3,1,1,benign dermal,benign,False,False,Tier 4,GROUP/DROP
lyme disease,5,3,1,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
fordyce spots,5,3,1,1,benign dermal,benign,False,False,Tier 4,GROUP/DROP
incontinentia pigmenti,5,3,1,1,genodermatoses,non-neoplastic,False,False,Tier 4,GROUP/DROP
neurodermatitis,5,3,1,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
keratosis pilaris,5,3,1,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
porokeratosis of mibelli,5,3,1,1,benign epidermal,benign,False,False,Tier 4,GROUP/DROP
pityriasis lichenoides chronica,5,3,1,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
epidermal nevus,4,2,1,1,benign epidermal,benign,False,False,Tier 4,GROUP/DROP
erythema nodosum,4,2,1,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
port wine stain,4,2,1,1,benign dermal,benign,False,False,Tier 4,GROUP/DROP
acrodermatitis enteropathica,4,2,1,1,genodermatoses,non-neoplastic,False,False,Tier 4,GROUP/DROP
langerhans cell histiocytosis,4,2,1,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
paronychia,3,2,1,0,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
tick bite,3,2,1,0,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
neurotic excoriations,3,2,1,0,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
rhinophyma,3,2,1,0,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
erythema annulare centrifigum,2,1,0,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
urticaria,2,1,0,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
nevocytic nevus,2,1,0,1,benign melanocyte,benign,False,False,Tier 4,GROUP/DROP
acquired autoimmune bullous diseaseherpes gestationis,2,1,0,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
livedo reticularis,2,1,0,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
becker nevus,2,1,0,1,benign dermal,benign,False,False,Tier 4,GROUP/DROP
pediculosis lids,2,1,0,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
aplasia cutis,2,1,0,1,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
disseminated actinic porokeratosis,2,1,0,1,benign epidermal,benign,False,False,Tier 4,GROUP/DROP
perioral dermatitis,1,1,0,0,inflammatory,non-neoplastic,False,False,Tier 4,GROUP/DROP
dermatofibroma,1,1,0,0,benign dermal,benign,False,False,Tier 4,GROUP/DROP
pityriasis rubra pilaris,127,76,25,26,inflammatory,non-neoplastic,False,False,Tier 1,INDEPENDENT
lichen planus,116,70,23,23,inflammatory,non-neoplastic,False,False,Tier 1,INDEPENDENT
lupus erythematosus,89,53,18,18,inflammatory,non-neoplastic,False,False,Tier 1,INDEPENDENT
psoriasis,85,51,17,17,inflammatory,non-neoplastic,False,False,Tier 1,INDEPENDENT
scabies,73,44,15,14,inflammatory,non-neoplastic,False,True,Tier 2,INDEPENDENT
squamous cell carcinoma,63,38,13,12,malignant epidermal,malignant,True,True,Tier 2,INDEPENDENT
