original_condition,original_sample_count,train_samples,val_samples,test_samples,nine_label,three_label,final_class,class_type,rationale
stasis edema,13,9,1,3,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
erythema elevatum diutinum,13,9,1,3,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
epidermolysis bullosa,13,9,1,3,genodermatoses,non-neoplastic,Rare Genetic Disorders,grouped,Grouped with other rare genetic conditions
lupus subacute,12,8,1,3,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
actinic keratosis,12,8,1,3,malignant epidermal,malignant,Rare Malignancies,grouped,Grouped with other rare malignant conditions
mucinosis,11,7,1,3,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
urticaria pigmentosa,11,7,1,3,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
lymphangioma,11,7,1,3,benign dermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
mucous cyst,11,7,1,3,benign dermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
drug induced pigmentary changes,11,7,1,3,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
calcinosis cutis,10,7,1,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
behcets disease,10,7,1,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
telangiectases,9,6,1,2,benign dermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
hailey hailey disease,9,6,1,2,genodermatoses,non-neoplastic,Rare Genetic Disorders,grouped,Grouped with other rare genetic conditions
juvenile xanthogranuloma,9,6,1,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
seborrheic keratosis,9,6,1,2,benign epidermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
hidradenitis,9,6,1,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
pilar cyst,9,6,1,2,benign dermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
seborrheic dermatitis,8,5,1,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
striae,8,5,1,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
dyshidrotic eczema,8,5,1,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
cheilitis,7,4,1,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
xanthomas,7,4,1,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
pyogenic granuloma,6,4,0,2,benign dermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
sun damaged skin,6,4,0,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
nevus sebaceous of jadassohn,6,4,0,2,benign epidermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
pustular psoriasis,6,4,0,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
myiasis,6,4,0,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
milia,6,4,0,2,benign epidermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
keratosis pilaris,5,3,0,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
granuloma pyogenic,5,3,0,2,benign dermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
porokeratosis of mibelli,5,3,0,2,benign epidermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
neurodermatitis,5,3,0,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
pityriasis lichenoides chronica,5,3,0,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
lyme disease,5,3,0,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
incontinentia pigmenti,5,3,0,2,genodermatoses,non-neoplastic,Rare Genetic Disorders,grouped,Grouped with other rare genetic conditions
stevens johnson syndrome,5,3,0,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
superficial spreading melanoma ssm,5,3,0,2,malignant melanoma,malignant,Rare Malignancies,grouped,Grouped with other rare malignant conditions
fordyce spots,5,3,0,2,benign dermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
congenital nevus,5,3,0,2,benign melanocyte,benign,congenital nevus,independent (default),Defaulted to independent - needs review
malignant melanoma,4,2,0,2,malignant melanoma,malignant,Rare Malignancies,grouped,Grouped with other rare malignant conditions
lentigo maligna,4,2,0,2,malignant melanoma,malignant,Rare Malignancies,grouped,Grouped with other rare malignant conditions
acrodermatitis enteropathica,4,2,0,2,genodermatoses,non-neoplastic,Rare Genetic Disorders,grouped,Grouped with other rare genetic conditions
langerhans cell histiocytosis,4,2,0,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
erythema nodosum,4,2,0,2,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
epidermal nevus,4,2,0,2,benign epidermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
port wine stain,4,2,0,2,benign dermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
rhinophyma,3,2,0,1,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
paronychia,3,2,0,1,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
neurotic excoriations,3,2,0,1,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
tick bite,3,2,0,1,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
urticaria,2,1,0,1,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
disseminated actinic porokeratosis,2,1,0,1,benign epidermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
livedo reticularis,2,1,0,1,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
pediculosis lids,2,1,0,1,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
nevocytic nevus,2,1,0,1,benign melanocyte,benign,nevocytic nevus,independent (default),Defaulted to independent - needs review
aplasia cutis,2,1,0,1,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
becker nevus,2,1,0,1,benign dermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
erythema annulare centrifigum,2,1,0,1,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
acquired autoimmune bullous diseaseherpes gestationis,2,1,0,1,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
perioral dermatitis,1,0,0,1,inflammatory,non-neoplastic,Rare Inflammatory Conditions,grouped,Grouped with other rare inflammatory conditions
solid cystic basal cell carcinoma,1,0,0,1,malignant epidermal,malignant,Rare Malignancies,grouped,Grouped with other rare malignant conditions
basal cell carcinoma morpheiform,1,0,0,1,malignant epidermal,malignant,Rare Malignancies,grouped,Grouped with other rare malignant conditions
dermatofibroma,1,0,0,1,benign dermal,benign,Rare Benign Tumors,grouped,Grouped with other rare benign neoplasms
