condition,current_samples,category,target_samples,augmentation_factor,augmented_samples
lupus subacute,12,High Priority (10-29 samples),30,3,36
mucous cyst,11,High Priority (10-29 samples),30,3,33
drug induced pigmentary changes,11,High Priority (10-29 samples),30,3,33
lymphangioma,11,High Priority (10-29 samples),30,3,33
urticaria pigmentosa,11,High Priority (10-29 samples),30,3,33
mucinosis,11,High Priority (10-29 samples),30,3,33
behcets disease,10,High Priority (10-29 samples),30,3,30
calcinosis cutis,10,High Priority (10-29 samples),30,3,30
hidradenitis,9,Critical (< 10 samples),30,4,36
seborrheic keratosis,9,Critical (< 10 samples),30,4,36
pilar cyst,9,Critical (< 10 samples),30,4,36
telangiectases,9,Critical (< 10 samples),30,4,36
juvenile xanthogranuloma,9,Critical (< 10 samples),30,4,36
hailey hailey disease,9,Critical (< 10 samples),30,4,36
dyshidrotic eczema,8,Critical (< 10 samples),30,4,32
striae,8,Critical (< 10 samples),30,4,32
seborrheic dermatitis,8,Critical (< 10 samples),30,4,32
xanthomas,7,Critical (< 10 samples),30,5,35
cheilitis,7,Critical (< 10 samples),30,5,35
sun damaged skin,6,Critical (< 10 samples),30,5,30
pyogenic granuloma,6,Critical (< 10 samples),30,5,30
pustular psoriasis,6,Critical (< 10 samples),30,5,30
milia,6,Critical (< 10 samples),30,5,30
nevus sebaceous of jadassohn,6,Critical (< 10 samples),30,5,30
myiasis,6,Critical (< 10 samples),30,5,30
superficial spreading melanoma ssm,5,Critical (< 10 samples),30,6,30
congenital nevus,5,Critical (< 10 samples),30,6,30
neurodermatitis,5,Critical (< 10 samples),30,6,30
porokeratosis of mibelli,5,Critical (< 10 samples),30,6,30
fordyce spots,5,Critical (< 10 samples),30,6,30
granuloma pyogenic,5,Critical (< 10 samples),30,6,30
pityriasis lichenoides chronica,5,Critical (< 10 samples),30,6,30
stevens johnson syndrome,5,Critical (< 10 samples),30,6,30
keratosis pilaris,5,Critical (< 10 samples),30,6,30
lyme disease,5,Critical (< 10 samples),30,6,30
incontinentia pigmenti,5,Critical (< 10 samples),30,6,30
langerhans cell histiocytosis,4,Critical (< 10 samples),30,8,32
epidermal nevus,4,Critical (< 10 samples),30,8,32
port wine stain,4,Critical (< 10 samples),30,8,32
erythema nodosum,4,Critical (< 10 samples),30,8,32
malignant melanoma,4,Critical (< 10 samples),30,8,32
acrodermatitis enteropathica,4,Critical (< 10 samples),30,8,32
lentigo maligna,4,Critical (< 10 samples),30,8,32
rhinophyma,3,Critical (< 10 samples),30,10,30
paronychia,3,Critical (< 10 samples),30,10,30
tick bite,3,Critical (< 10 samples),30,10,30
neurotic excoriations,3,Critical (< 10 samples),30,10,30
becker nevus,2,Critical (< 10 samples),30,15,30
acquired autoimmune bullous diseaseherpes gestationis,2,Critical (< 10 samples),30,15,30
aplasia cutis,2,Critical (< 10 samples),30,15,30
pediculosis lids,2,Critical (< 10 samples),30,15,30
disseminated actinic porokeratosis,2,Critical (< 10 samples),30,15,30
urticaria,2,Critical (< 10 samples),30,15,30
livedo reticularis,2,Critical (< 10 samples),30,15,30
nevocytic nevus,2,Critical (< 10 samples),30,15,30
erythema annulare centrifigum,2,Critical (< 10 samples),30,15,30
perioral dermatitis,1,Critical (< 10 samples),30,30,30
solid cystic basal cell carcinoma,1,Critical (< 10 samples),30,30,30
basal cell carcinoma morpheiform,1,Critical (< 10 samples),30,30,30
dermatofibroma,1,Critical (< 10 samples),30,30,30
